#queryIndex	queryItem	stringId	preferredName	annotation
145	CHCHD7	9606.ENSP00000306425	CHCHD7	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7; Mitochondrial coiled-coil-helix-coiled-coil-helix domain containing proteins; Belongs to the CHCHD7 family
146	PLD6	9606.ENSP00000317177	PLD6	Mitochondrial cardiolipin hydrolase; Endonuclease that plays a critical role in PIWI- interacting RNA (piRNA) biogenesis during spermatogenesis. piRNAs provide essential protection against the activity of mobile genetic elements (By similarity). piRNA-mediated transposon silencing is thus critical for maintaining genome stability, in particular in germline cells when transposons are mobilized as a consequence of wide-spread genomic demethylation (By similarity). Has been proposed to act as a cardiolipin hydrolase to generate phosphatidic acid at mitochondrial surface (By similarity). A [...] 
147	ARMC10	9606.ENSP00000319412	ARMC10	Armadillo repeat-containing protein 10; May play a role in cell survival and cell growth. May suppress the transcriptional activity of p53/TP53; Armadillo repeat containing
148	PNPO	9606.ENSP00000225573	PNPO	Pyridoxine-5'-phosphate oxidase; Catalyzes the oxidation of either pyridoxine 5'- phosphate (PNP) or pyridoxamine 5'-phosphate (PMP) into pyridoxal 5'-phosphate (PLP)
149	MMAA	9606.ENSP00000281317	MMAA	Methylmalonic aciduria type A protein, mitochondrial; GTPase, binds and hydrolyzes GTP. Involved in intracellular vitamin B12 metabolism, mediates the transport of cobalamin (Cbl) into mitochondria for the final steps of adenosylcobalamin (AdoCbl) synthesis. Functions as a G-protein chaperone that assists AdoCbl cofactor delivery from MMAB to the methylmalonyl-CoA mutase (MUT) and reactivation of the enzyme during catalysis
150	PPM1K	9606.ENSP00000477341	PPM1K	Protein phosphatase 1K, mitochondrial; Regulates the mitochondrial permeability transition pore and is essential for cellular survival and development; Belongs to the PP2C family
151	AADAT	9606.ENSP00000423190	AADAT	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Transaminase with broad substrate specificity. Has transaminase activity towards aminoadipate, kynurenine, methionine and glutamate. Shows activity also towards tryptophan, aspartate and hydroxykynurenine. Accepts a variety of oxo-acids as amino- group acceptors, with a preference for 2-oxoglutarate, 2- oxocaproic acid, phenylpyruvate and alpha-oxo-gamma-methiol butyric acid. Can also use glyoxylate as amino-group acceptor (in vitro)
152	PRODH2	9606.ENSP00000301175	PRODH2	Hydroxyproline dehydrogenase; Dehydrogenase that converts trans-4-L-hydroxyproline to delta-1-pyrroline-3-hydroxy-5-carboxylate (Hyp) using ubiquinone- 10 as the terminal electron acceptor. Can also use proline as a substrate but with a very much lower efficiency. Does not react with other diastereomers of Hyp: trans-4-D-hydroxyproline and cis- 4-L-hydroxyproline. Ubiquininone analogs such as menadione, duroquinone and ubiquinone-1 react more efficiently than oxygen as the terminal electron acceptor during catalysis
153	PRODH2	9606.ENSP00000301175	PRODH2	Hydroxyproline dehydrogenase; Dehydrogenase that converts trans-4-L-hydroxyproline to delta-1-pyrroline-3-hydroxy-5-carboxylate (Hyp) using ubiquinone- 10 as the terminal electron acceptor. Can also use proline as a substrate but with a very much lower efficiency. Does not react with other diastereomers of Hyp: trans-4-D-hydroxyproline and cis- 4-L-hydroxyproline. Ubiquininone analogs such as menadione, duroquinone and ubiquinone-1 react more efficiently than oxygen as the terminal electron acceptor during catalysis
154	ABAT	9606.ENSP00000379845	ABAT	4-aminobutyrate aminotransferase, mitochondrial; Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
155	PTCD3	9606.ENSP00000254630	PTCD3	Pentatricopeptide repeat domain-containing protein 3, mitochondrial; Mitochondrial RNA-binding protein that has a role in mitochondrial translation
156	DDX28	9606.ENSP00000332340	DDX28	Probable ATP-dependent RNA helicase DDX28; Plays an essential role in facilitating the proper assembly of the mitochondrial large ribosomal subunit and its helicase activity is essential for this function. May be involved in RNA processing or transport. Has RNA and Mg(2+)-dependent ATPase activity; DEAD-box helicases
157	PYCR2	9606.ENSP00000342502	PYCR2	Pyrroline-5-carboxylate reductase 2; Housekeeping enzyme that catalyzes the last step in proline biosynthesis. In some cell types, such as erythrocytes, its primary function may be the generation of NADP(+). Can utilize both NAD and NADP. Has higher affinity for NADP, but higher catalytic efficiency with NADH. Involved in cellular response to oxidative stress
158	AGXT	9606.ENSP00000302620	AGXT	Alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase; Alanine-glyoxylate aminotransferase
159	RAB5IF	9606.ENSP00000341213	C20orf24	Uncharacterized protein C20orf24; Chromosome 20 open reading frame 24
160	CYCS	9606.ENSP00000307786	CYCS	Cytochrome c, somatic; Cytochrome c; Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain
161	RDH14	9606.ENSP00000370648	RDH14	Retinol dehydrogenase 14; Exhibits an oxidoreductive catalytic activity towards retinoids. Most efficient as an NADPH-dependent retinal reductase. Displays high activity toward 9-cis and all-trans-retinol. No steroid dehydrogenase activity detected; Short chain dehydrogenase/reductase superfamily
162	SLC25A19	9606.ENSP00000385312	SLC25A19	Mitochondrial thiamine pyrophosphate carrier; Mitochondrial transporter mediating uptake of thiamine pyrophosphate (ThPP) into mitochondria; Solute carriers
163	FLAD1	9606.ENSP00000292180	FLAD1	FAD synthase; Catalyzes the adenylation of flavin mononucleotide (FMN) to form flavin adenine dinucleotide (FAD) coenzyme; In the C-terminal section; belongs to the PAPS reductase family. FAD1 subfamily
164	RHOT2	9606.ENSP00000321971	RHOT2	Ras homolog family member t2; Mitochondrial Rho GTPase 2; Mitochondrial GTPase involved in mitochondrial trafficking. Probably involved in control of anterograde transport of mitochondria and their subcellular distribution (By similarity)
165	BCL2L13	9606.ENSP00000480836	BCL2L13	Bcl-2-like protein 13; May promote the activation of caspase-3 and apoptosis; BCL2 family
166	SAMM50	9606.ENSP00000345445	SAMM50	Sorting and assembly machinery component 50 homolog; Plays a crucial role in the maintenance of the structure of mitochondrial cristae and the proper assembly of the mitochondrial respiratory chain complexes. Required for the assembly of TOMM40 into the TOM complex
167	AIFM1	9606.ENSP00000287295	AIFM1	Apoptosis-inducing factor 1, mitochondrial; Functions both as NADH oxidoreductase and as regulator of apoptosis. In response to apoptotic stimuli, it is released from the mitochondrion intermembrane space into the cytosol and to the nucleus, where it functions as a proapoptotic factor in a caspase-independent pathway. In contrast, functions as an antiapoptotic factor in normal mitochondria via its NADH oxidoreductase activity. The soluble form (AIFsol) found in the nucleus induces 'parthanatos' i.e. caspase-independent fragmentation of chromosomal DNA. Interacts with EIF3G,and thereby  [...] 
168	SARDH	9606.ENSP00000360938	SARDH	Sarcosine dehydrogenase, mitochondrial; Sarcosine dehydrogenase; Belongs to the GcvT family
169	ACACA	9606.ENSP00000483300	ACACA	Acetyl-CoA carboxylase 1; Catalyzes the rate-limiting reaction in the biogenesis of long-chain fatty acids. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase
170	SDHAF4	9606.ENSP00000359505	C6orf57	Succinate dehydrogenase assembly factor 4, mitochondrial; Plays an essential role in the assembly of succinate dehydrogenase (SDH), an enzyme complex (also referred to as respiratory complex II) that is a component of both the tricarboxylic acid (TCA) cycle and the mitochondrial electron transport chain, and which couples the oxidation of succinate to fumarate with the reduction of ubiquinone (coenzyme Q) to ubiquinol. Binds to the flavoprotein subunit SDHA in its FAD-bound form, blocking the generation of excess reactive oxigen species (ROS) and facilitating its assembly with the iron [...] 
171	BCS1L	9606.ENSP00000413908	BCS1L	Mitochondrial chaperone BCS1; Chaperone necessary for the assembly of mitochondrial respiratory chain complex III. Plays an important role in the maintenance of mitochondrial tubular networks, respiratory chain assembly and formation of the LETM1 complex; AAA ATPases
172	SDHD	9606.ENSP00000364699	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial; Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
173	ACACA	9606.ENSP00000483300	ACACA	Acetyl-CoA carboxylase 1; Catalyzes the rate-limiting reaction in the biogenesis of long-chain fatty acids. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase
174	SDHD	9606.ENSP00000364699	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial; Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
175	SDHA	9606.ENSP00000264932	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial; Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q). Can act as a tumor suppressor; Belongs to the FAD-dependent oxidoreductase 2 family. FRD/SDH subfamily
176	SDHD	9606.ENSP00000364699	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial; Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
177	SDHAF1	9606.ENSP00000368165	SDHAF1	Succinate dehydrogenase assembly factor 1, mitochondrial; Plays an essential role in the assembly of succinate dehydrogenase (SDH), an enzyme complex (also referred to as respiratory complex II) that is a component of both the tricarboxylic acid (TCA) cycle and the mitochondrial electron transport chain, and which couples the oxidation of succinate to fumarate with the reduction of ubiquinone (coenzyme Q) to ubiquinol. Promotes maturation of the iron-sulfur protein subunit SDHB of the SDH catalytic dimer, protecting it from the deleterious effects of oxidants. May act together with SDH [...] 
178	SFXN5	9606.ENSP00000272433	SFXN5	Sideroflexin-5; Transports citrate. Potential iron transporter (By similarity); Sideroflexins
179	MCU	9606.ENSP00000362144	MCU	Calcium uniporter protein, mitochondrial; Mitochondrial inner membrane calcium uniporter that mediates calcium uptake into mitochondria. Constitutes the pore-forming and calcium-conducting subunit of the uniporter complex (uniplex). Activity is regulated by MICU1 and MICU2. At low Ca(2+) levels MCU activity is down- regulated by MICU1 and MICU2; at higher Ca(2+) levels MICU1 increases MCU activity. Mitochondrial calcium homeostasis plays key roles in cellular physiology and regulates cell bioenergetics, cytoplasmic calcium signals and activation of cell death pathways. Involved in buff [...] 
180	SHMT2	9606.ENSP00000333667	SHMT2	Serine hydroxymethyltransferase, mitochondrial; Contributes to the de novo mitochondrial thymidylate biosynthesis pathway via its role in glycine and tetrahydrofolate metabolism. Thymidylate biosynthesis is required to prevent uracil accumulation in mtDNA. Interconversion of serine and glycine. Associates with mitochondrial DNA. Plays a role in the deubiquitination of target proteins as component of the BRISC complex. Required for IFNAR1 deubiquitination by the BRISC complex; Belongs to the SHMT family
181	ALDH7A1	9606.ENSP00000387123	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase; Multifunctional enzyme mediating important protective effects. Metabolizes betaine aldehyde to betaine, an important cellular osmolyte and methyl donor. Protects cells from oxidative stress by metabolizing a number of lipid peroxidation-derived aldehydes. Involved in lysine catabolism
182	SLC25A11	9606.ENSP00000225665	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein; Catalyzes the transport of 2-oxoglutarate across the inner mitochondrial membrane in an electroneutral exchange for malate or other dicarboxylic acids, and plays an important role in several metabolic processes, including the malate-aspartate shuttle, the oxoglutarate/isocitrate shuttle, in gluconeogenesis from lactate, and in nitrogen metabolism (By similarity). Maintains mitochondrial fusion and fission events, and the organization and morphology of cristae. Involved in the regulation of apoptosis (By similarity); Solute carriers
183	ACOD1	9606.ENSP00000366682	IRG1	Cis-aconitate decarboxylase; Involved in the inhibition of the inflammatory response. Acts as a negative regulator of the Toll-like receptors (TLRs)- mediated inflammatory innate response by stimulating the tumor necrosis factor alpha-induced protein TNFAIP3 expression via reactive oxygen species (ROS) in LPS-tolerized macrophages. Involved in antimicrobial response of innate immune cells; ACOD1- mediated itaconic acid production contributes to the antimicrobial activity of macrophages. Plays a role in the embryo implantation
184	SLC25A11	9606.ENSP00000225665	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein; Catalyzes the transport of 2-oxoglutarate across the inner mitochondrial membrane in an electroneutral exchange for malate or other dicarboxylic acids, and plays an important role in several metabolic processes, including the malate-aspartate shuttle, the oxoglutarate/isocitrate shuttle, in gluconeogenesis from lactate, and in nitrogen metabolism (By similarity). Maintains mitochondrial fusion and fission events, and the organization and morphology of cristae. Involved in the regulation of apoptosis (By similarity); Solute carriers
185	GOT2	9606.ENSP00000245206	GOT2	Aspartate aminotransferase, mitochondrial; Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). Plays a key role in amino acid metabolism. Important for metabolite exchange between mitochondria and cytosol. Facilitates cellular uptake of long-chain free fatty acids; Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family
186	SLC25A12	9606.ENSP00000388658	SLC25A12	Solute carrier family 25 (mitochondrial aspartate/glutamate transporter), member 12/13; Calcium-binding mitochondrial carrier protein Aralar1; Catalyzes the calcium-dependent exchange of cytoplasmic glutamate with mitochondrial aspartate across the mitochondrial inner membrane. May have a function in the urea cycle; Belongs to the mitochondrial carrier (TC 2.A.29) family
187	ALDH18A1	9606.ENSP00000360268	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthetase; Delta-1-pyrroline-5-carboxylate synthase; Bifunctional enzyme that converts glutamate to glutamate 5-semialdehyde, an intermediate in the biosynthesis of proline, ornithine and arginine
188	SLC25A13	9606.ENSP00000400101	SLC25A13	Solute carrier family 25 (mitochondrial aspartate/glutamate transporter), member 12/13; Calcium-binding mitochondrial carrier protein Aralar2; Catalyzes the calcium-dependent exchange of cytoplasmic glutamate with mitochondrial aspartate across the mitochondrial inner membrane. May have a function in the urea cycle; EF-hand domain containing
189	GPD2	9606.ENSP00000308610	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial; Glycerol-3-phosphate dehydrogenase 2; Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family
190	DLAT	9606.ENSP00000280346	DLAT	Pyruvate dehydrogenase e2 component (dihydrolipoamide acetyltransferase); Dihydrolipoamide S-acetyltransferase; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle
191	SLC25A15	9606.ENSP00000342267	SLC25A15	Mitochondrial ornithine transporter 1; Ornithine transport across inner mitochondrial membrane, from the cytoplasm to the matrix; Solute carriers
192	AK2	9606.ENSP00000346921	AK2	Adenylate kinase 2, mitochondrial; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways. Plays a key role in hematopoiesis
193	SLC25A20	9606.ENSP00000326305	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein; Mediates the transport of acylcarnitines of different length across the mitochondrial inner membrane from the cytosol to the mitochondrial matrix for their oxidation by the mitochondrial fatty acid-oxidation pathway; Solute carriers
194	ACACA	9606.ENSP00000483300	ACACA	Acetyl-CoA carboxylase 1; Catalyzes the rate-limiting reaction in the biogenesis of long-chain fatty acids. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase
195	SLC25A20	9606.ENSP00000326305	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein; Mediates the transport of acylcarnitines of different length across the mitochondrial inner membrane from the cytosol to the mitochondrial matrix for their oxidation by the mitochondrial fatty acid-oxidation pathway; Solute carriers
196	COASY	9606.ENSP00000464814	COASY	Bifunctional coenzyme A synthase; Bifunctional enzyme that catalyzes the fourth and fifth sequential steps of CoA biosynthetic pathway. The fourth reaction is catalyzed by the phosphopantetheine adenylyltransferase, coded by the coaD domain; the fifth reaction is catalyzed by the dephospho-CoA kinase, coded by the coaE domain. May act as a point of CoA biosynthesis regulation; In the central section; belongs to the eukaryotic CoaD family
197	SLC25A25	9606.ENSP00000362159	SLC25A25	Solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41; Calcium-binding mitochondrial carrier protein SCaMC-2; Calcium-dependent mitochondrial solute carrier. Mitochondrial solute carriers shuttle metabolites, nucleotides, and cofactors through the mitochondrial inner membrane. May act as a ATP-Mg/Pi exchanger that mediates the transport of Mg-ATP in exchange for phosphate, catalyzing the net uptake or efflux of adenine nucleotides into or from the mitochondria
198	ACOD1	9606.ENSP00000366682	IRG1	Cis-aconitate decarboxylase; Involved in the inhibition of the inflammatory response. Acts as a negative regulator of the Toll-like receptors (TLRs)- mediated inflammatory innate response by stimulating the tumor necrosis factor alpha-induced protein TNFAIP3 expression via reactive oxygen species (ROS) in LPS-tolerized macrophages. Involved in antimicrobial response of innate immune cells; ACOD1- mediated itaconic acid production contributes to the antimicrobial activity of macrophages. Plays a role in the embryo implantation
199	SLC25A29	9606.ENSP00000352167	SLC25A29	Mitochondrial basic amino acids transporter; Transports arginine, lysine, homoarginine, methylarginine and, to a much lesser extent, ornithine and histidine. Can restore ornithine transport in cells lacking the primary mitochondrial ornithine transporter SLC25A15. Does not transport carnitine nor acylcarnitines. Functions by both counter- exchange and uniport mechanisms; Solute carriers
200	AGXT	9606.ENSP00000302620	AGXT	Alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase; Alanine-glyoxylate aminotransferase
201	SLC25A3	9606.ENSP00000228318	SLC25A3	Phosphate carrier protein, mitochondrial; Transport of phosphate groups from the cytosol to the mitochondrial matrix. Phosphate is cotransported with H(+). May play a role regulation of the mitochondrial permeability transition pore (mPTP); Solute carriers
202	FAM210B	9606.ENSP00000360437	FAM210B	Protein FAM210B, mitochondrial; Plays a role in erythroid differentiation. Involved in cell proliferation and tumor cell growth suppression. Involved in the metabolic reprogramming of cancer cells in a PDK4-dependent manner; Belongs to the FAM210 family
203	SLC25A32	9606.ENSP00000297578	SLC25A32	Mitochondrial folate transporter/carrier; Transports folate across the inner membranes of mitochondria; Belongs to the mitochondrial carrier (TC 2.A.29) family
204	PLPBP	9606.ENSP00000333551	PROSC	Pyridoxal phosphate homeostasis protein; Pyridoxal 5'-phosphate (PLP)-binding protein, which may be involved in intracellular homeostatic regulation of pyridoxal 5'-phosphate (PLP), the active form of vitamin B6
205	SLC25A34	9606.ENSP00000294454	SLC25A34	Solute carrier family 25, member 34/35; Solute carrier family 25 member 34
206	SLC25A37	9606.ENSP00000429200	SLC25A37	Mitoferrin-1; Mitochondrial iron transporter that specifically mediates iron uptake in developing erythroid cells, thereby playing an essential role in heme biosynthesis. The iron delivered into the mitochondria, presumably as Fe(2+), is then probably delivered to ferrochelatase to catalyze Fe(2+) incorporation into protoprophyrin IX to make heme (By similarity); Solute carriers
207	ABCB10	9606.ENSP00000355637	ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial; May mediate critical mitochondrial transport functions related to heme biosynthesis; Belongs to the ABC transporter superfamily. ABCB family. Mitochondrial peptide exporter (TC 3.A.1.212) subfamily
208	SLC25A38	9606.ENSP00000273158	SLC25A38	Solute carrier family 25 member 38; Mitochondrial carrier required during erythropoiesis. Probably involved in the biosynthesis of heme, possibly by facilitating 5-aminolevulinate (ALA) production. May act by importing glycine into mitochondria or by exchanging glycine for ALA across the mitochondrial inner membrane; Belongs to the mitochondrial carrier (TC 2.A.29) family. SLC25A38 subfamily
209	ABCB7	9606.ENSP00000253577	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial; Could be involved in the transport of heme from the mitochondria to the cytosol. Plays a central role in the maturation of cytosolic iron-sulfur (Fe/S) cluster-containing proteins; ATP binding cassette subfamily B
210	SLC25A38	9606.ENSP00000273158	SLC25A38	Solute carrier family 25 member 38; Mitochondrial carrier required during erythropoiesis. Probably involved in the biosynthesis of heme, possibly by facilitating 5-aminolevulinate (ALA) production. May act by importing glycine into mitochondria or by exchanging glycine for ALA across the mitochondrial inner membrane; Belongs to the mitochondrial carrier (TC 2.A.29) family. SLC25A38 subfamily
211	ABHD10	9606.ENSP00000273359	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial; Catalyzes the deglucuronidation of mycophenolic acid acyl-glucuronide, a metabolite of the immunosuppressant drug mycophenolate; Belongs to the AB hydrolase superfamily
212	SLC25A38	9606.ENSP00000273158	SLC25A38	Solute carrier family 25 member 38; Mitochondrial carrier required during erythropoiesis. Probably involved in the biosynthesis of heme, possibly by facilitating 5-aminolevulinate (ALA) production. May act by importing glycine into mitochondria or by exchanging glycine for ALA across the mitochondrial inner membrane; Belongs to the mitochondrial carrier (TC 2.A.29) family. SLC25A38 subfamily
213	AMT	9606.ENSP00000273588	AMT	Aminomethyltransferase, mitochondrial; The glycine cleavage system catalyzes the degradation of glycine
214	SLC25A42	9606.ENSP00000326693	SLC25A42	Mitochondrial coenzyme A transporter SLC25A42; Mitochondrial carrier mediating the transport of coenzyme A (CoA) in mitochondria in exchange for intramitochondrial (deoxy)adenine nucleotides and adenosine 3',5'- diphosphate; Solute carriers
215	COQ10A	9606.ENSP00000312587	COQ10A	Coenzyme Q-binding protein COQ10 homolog A, mitochondrial; Required for the function of coenzyme Q in the respiratory chain. May serve as a chaperone or may be involved in the transport of Q6 from its site of synthesis to the catalytic sites of the respiratory complexes (Probable); Belongs to the COQ10 family
216	SLC25A44	9606.ENSP00000407560	SLC25A44	Solute carrier family 25 member 44
217	BCKDHA	9606.ENSP00000269980	BCKDHA	Branched chain keto acid dehydrogenase e1, alpha polypeptide; 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial; The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)
218	SLC25A45	9606.ENSP00000381782	SLC25A45	Solute carrier family 25, member 45/47; Solute carrier family 25 member 45; Belongs to the mitochondrial carrier (TC 2.A.29) family
219	SLC25A46	9606.ENSP00000348211	SLC25A46	Solute carrier family 25 member 46; May play a role in mitochondrial dynamics by controlling mitochondrial membrane fission; Belongs to the mitochondrial carrier (TC 2.A.29) family
220	ARMC10	9606.ENSP00000319412	ARMC10	Armadillo repeat-containing protein 10; May play a role in cell survival and cell growth. May suppress the transcriptional activity of p53/TP53; Armadillo repeat containing
221	SLC25A52	9606.ENSP00000372612	SLC25A52	Solute carrier family 25 member 52
222	PCBD2	9606.ENSP00000421544	PCBD2	4a-hydroxytetrahydrobiopterin dehydratase; Pterin-4-alpha-carbinolamine dehydratase 2; Involved in tetrahydrobiopterin biosynthesis. Seems to both prevent the formation of 7-pterins and accelerate the formation of quinonoid-BH2 (By similarity)
223	SLC25A6	9606.ENSP00000370808	SLC25A6	Solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31; ADP/ATP translocase 3; Catalyzes the exchange of cytoplasmic ADP with mitochondrial ATP across the mitochondrial inner membrane. May participate in the formation of the permeability transition pore complex (PTPC) responsible for the release of mitochondrial products that triggers apoptosis; Belongs to the mitochondrial carrier (TC 2.A.29) family
224	AK2	9606.ENSP00000346921	AK2	Adenylate kinase 2, mitochondrial; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways. Plays a key role in hematopoiesis
225	SMDT1	9606.ENSP00000327467	SMDT1	Essential MCU regulator, mitochondrial; Essential regulatory subunit of the mitochondrial calcium uniporter complex (uniplex), a complex that mediates calcium uptake into mitochondria. Required to bridge the calcium- sensing proteins MICU1 and MICU2 with the calcium-conducting subunit MCU. Plays a central role in regulating the uniplex complex response to intracellular calcium signaling. Acts by mediating activation of MCU and retention of MICU1 to the MCU pore, in order to ensure tight regulation of the uniplex complex and appropriate responses to intracellular calcium signaling; Belo [...] 
226	ACOD1	9606.ENSP00000366682	IRG1	Cis-aconitate decarboxylase; Involved in the inhibition of the inflammatory response. Acts as a negative regulator of the Toll-like receptors (TLRs)- mediated inflammatory innate response by stimulating the tumor necrosis factor alpha-induced protein TNFAIP3 expression via reactive oxygen species (ROS) in LPS-tolerized macrophages. Involved in antimicrobial response of innate immune cells; ACOD1- mediated itaconic acid production contributes to the antimicrobial activity of macrophages. Plays a role in the embryo implantation
227	SMDT1	9606.ENSP00000327467	SMDT1	Essential MCU regulator, mitochondrial; Essential regulatory subunit of the mitochondrial calcium uniporter complex (uniplex), a complex that mediates calcium uptake into mitochondria. Required to bridge the calcium- sensing proteins MICU1 and MICU2 with the calcium-conducting subunit MCU. Plays a central role in regulating the uniplex complex response to intracellular calcium signaling. Acts by mediating activation of MCU and retention of MICU1 to the MCU pore, in order to ensure tight regulation of the uniplex complex and appropriate responses to intracellular calcium signaling; Belo [...] 
228	PPIF	9606.ENSP00000225174	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. Involved in regulation of the mitochondrial permeability transition pore (mPTP). It is proposed that its association with the mPTP is masking a binding site for inhibiting inorganic phosphate (Pi) and promotes the open probability of the mPTP leading to apoptosis or necrosis; the requirement of the PPIase activity for this function is debated. In cooperation with mitochondrial TP53 is involved in act [...] 
229	SPHKAP	9606.ENSP00000375909	SPHKAP	SPHK1 interactor, AKAP domain containing; A-kinase anchor protein SPHKAP; Anchoring protein that binds preferentially to the type I regulatory subunit of c-AMP-dependent protein kinase (PKA type I) and targets it to distinct subcellular compartments. May act as a converging factor linking cAMP and sphingosine signaling pathways. Plays a regulatory role in the modulation of SPHK1; A-kinase anchoring proteins
230	AHCYL1	9606.ENSP00000358814	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1; Multifaceted cellular regulator which coordinates several essential cellular functions including regulation of epithelial HCO3(-) and fluid secretion, mRNA processing and DNA replication. Regulates ITPR1 sensitivity to inositol 1,4,5- trisphosphate competing for the common binding site and acting as endogenous 'pseudoligand' whose inhibitory activity can be modulated by its phosphorylation status. In the pancreatic and salivary ducts, at resting state, attenuates inositol 1,4,5- trisphosphate-induced calcium release by interacting with I [...] 
231	SPR	9606.ENSP00000234454	SPR	Sepiapterin reductase; Catalyzes the final one or two reductions in tetra- hydrobiopterin biosynthesis to form 5,6,7,8-tetrahydrobiopterin; Belongs to the sepiapterin reductase family
232	ABAT	9606.ENSP00000379845	ABAT	4-aminobutyrate aminotransferase, mitochondrial; Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
233	SQOR	9606.ENSP00000260324	SQRDL	Sulfide:quinone oxidoreductase, mitochondrial; Catalyzes the oxidation of hydrogen sulfide with the help of a quinone, such as ubiquinone, giving rise to thiosulfate and ultimately to sulfane (molecular sulfur) atoms. Requires an additional electron acceptor; can use sulfite, sulfide or cyanide (in vitro)
234	CYB5B	9606.ENSP00000308430	CYB5B	Cytochrome b5 type B; Cytochrome b5 is a membrane bound hemoprotein which function as an electron carrier for several membrane bound oxygenases
