Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000226841	MCCD1	CHR_HSCHR6_MHC_SSTO_CTG1	31519466	31520981
ENSG00000238238	MCCD1	CHR_HSCHR6_MHC_MANN_CTG1	31568197	31569712
ENSG00000231975	MCCD1	CHR_HSCHR6_MHC_DBB_CTG1	31510897	31512412
ENSG00000206447	MCCD1	CHR_HSCHR6_MHC_QBL_CTG1	31518986	31520501
ENSG00000226923	MCCD1	CHR_HSCHR6_MHC_COX_CTG1	31516169	31517684
ENSG00000204511	MCCD1	6	31528962	31530232
ENSG00000175768	TOMM5	9	37582646	37592604
ENSG00000269743	SLC25A53	X	104099214	104157009
ENSG00000213465	ARL2	11	65014160	65022184
ENSG00000188554	NBR1	17	43170481	43211689
ENSG00000189221	MAOA	X	43654907	43746817
ENSG00000069535	MAOB	X	43766610	43882450
ENSG00000213563	C8orf82	8	144525733	144529132
ENSG00000143384	MCL1	1	150560895	150579738
ENSG00000146701	MDH2	7	76048051	76067508
ENSG00000082212	ME2	18	50879080	50954257
ENSG00000008394	MGST1	12	16347142	16609259
ENSG00000143198	MGST3	1	165631213	165661796
ENSG00000027001	MIPEP	13	23730189	23889400
ENSG00000119711	ALDH6A1	14	74056847	74084492
ENSG00000124615	MOCS1	6	39899578	39934551
ENSG00000128309	MPST	22	37019635	37029821
ENSG00000115204	MPV17	2	27309492	27325680
ENSG00000173436	MICOS10	1	19484403	19629821
ENSG00000163738	MTHFD2L	4	74114174	74303099
ENSG00000175806	MSRA	8	10054292	10428891
ENSG00000285250	MSRA	CHR_HG76_PATCH	9522867	9898846
ENSG00000198899	MT-ATP6	MT	8527	9207
ENSG00000228253	MT-ATP8	MT	8366	8572
ENSG00000198804	MT-CO1	MT	5904	7445
ENSG00000198712	MT-CO2	MT	7586	8269
ENSG00000198938	MT-CO3	MT	9207	9990
ENSG00000198727	MT-CYB	MT	14747	15887
ENSG00000085760	MTIF2	2	55236595	55269347
ENSG00000198888	MT-ND1	MT	3307	4262
ENSG00000198763	MT-ND2	MT	4470	5511
ENSG00000198840	MT-ND3	MT	10059	10404
ENSG00000198886	MT-ND4	MT	10760	12137
ENSG00000212907	MT-ND4L	MT	10470	10766
ENSG00000198786	MT-ND5	MT	12337	14148
ENSG00000198695	MT-ND6	MT	14149	14673
ENSG00000173171	MTX1	1	155208695	155213824
ENSG00000146085	MMUT	6	49430360	49463253
ENSG00000132781	MUTYH	1	45329163	45340893
ENSG00000125356	NDUFA1	X	119871832	119876662
ENSG00000131495	NDUFA2	5	140638740	140647771
ENSG00000276061	NDUFA3	CHR_HSCHR19_4_CTG3_1	54102782	54108779
ENSG00000276766	NDUFA3	CHR_HSCHR19LRC_LRC_I_CTG3_1	54102906	54107026
ENSG00000275724	NDUFA3	CHR_HSCHR19LRC_LRC_T_CTG3_1	54102906	54107026
ENSG00000276220	NDUFA3	CHR_HSCHR19LRC_COX2_CTG3_1	54102906	54107026
ENSG00000278365	NDUFA3	CHR_HSCHR19LRC_LRC_S_CTG3_1	54102906	54107026
ENSG00000277722	NDUFA3	CHR_HSCHR19LRC_PGF2_CTG3_1	54102906	54107026
ENSG00000273642	NDUFA3	CHR_HSCHR19LRC_LRC_J_CTG3_1	54102906	54107026
ENSG00000274359	NDUFA3	CHR_HSCHR19LRC_COX1_CTG3_1	54102906	54107026
ENSG00000275605	NDUFA3	CHR_HSCHR19LRC_PGF1_CTG3_1	54102906	54107026
ENSG00000170906	NDUFA3	19	54102728	54109257
ENSG00000189043	NDUFA4	7	10931943	10940153
ENSG00000128609	NDUFA5	7	123536997	123557904
ENSG00000131473	ACLY	17	41866917	41930542
ENSG00000277365	NDUFA6	CHR_HSCHR22_3_CTG1	42085525	42090955
ENSG00000273397	NDUFA6	CHR_HSCHR22_2_CTG1	42085525	42090955
ENSG00000272765	NDUFA6	CHR_HSCHR22_1_CTG1	42085525	42090955
ENSG00000281013	NDUFA6	CHR_HSCHR22_4_CTG1	42085526	42090894
ENSG00000184983	NDUFA6	22	42085526	42090884
ENSG00000267855	NDUFA7	19	8308768	8321375
ENSG00000119421	NDUFA8	9	122144058	122159779
ENSG00000139180	NDUFA9	12	4649095	4694317
ENSG00000130414	NDUFA10	2	239892450	240025743
ENSG00000004779	NDUFAB1	16	23581014	23596316
ENSG00000183648	NDUFB1	14	92116122	92121917
ENSG00000090266	NDUFB2	7	140690777	140722790
ENSG00000119013	NDUFB3	2	201071433	201085750
ENSG00000065518	NDUFB4	3	120596328	120602507
ENSG00000136521	NDUFB5	3	179604690	179627647
ENSG00000165264	NDUFB6	9	32553001	32573184
ENSG00000099795	NDUFB7	19	14566078	14572066
ENSG00000166136	NDUFB8	10	100523740	100530000
ENSG00000147684	NDUFB9	8	124539101	124580648
ENSG00000140990	NDUFB10	16	1959538	1961975
ENSG00000109390	NDUFC1	4	139266880	139302551
ENSG00000151366	NDUFC2	11	78068297	78079862
ENSG00000283447	NDUFS1	CHR_HSCHR2_6_CTG7_2	206114817	206159509
ENSG00000023228	NDUFS1	2	206114817	206159509
ENSG00000158864	NDUFS2	1	161197104	161214723
ENSG00000285387	NDUFS3	CHR_HG2114_PATCH	47565336	47584562
ENSG00000213619	NDUFS3	11	47565336	47584562
ENSG00000167792	NDUFV1	11	67605653	67612554
ENSG00000164258	NDUFS4	5	53560633	53683338
ENSG00000168653	NDUFS5	1	39026318	39034636
ENSG00000145494	NDUFS6	5	1801407	1816048
ENSG00000110717	NDUFS8	11	68030617	68036644
ENSG00000178127	NDUFV2	18	9102630	9134345
ENSG00000160194	NDUFV3	21	42879644	42913304
ENSG00000158793	NIT1	1	161118086	161125445
ENSG00000103024	NME3	16	1770320	1771561
ENSG00000103202	NME4	16	396725	410367
ENSG00000078618	NRDC	1	51789191	51878805
ENSG00000065057	NTHL1	16	2039815	2047866
ENSG00000183513	COA5	2	98599314	98608515
ENSG00000065154	OAT	10	124397303	124418976
ENSG00000105953	OGDH	7	44606572	44709066
ENSG00000114026	OGG1	3	9749944	9788219
ENSG00000198836	OPA1	3	193593144	193697811
ENSG00000152234	ATP5F1A	18	46080248	46104334
ENSG00000100412	ACO2	22	41447830	41529273
ENSG00000036473	OTC	X	38352586	38421446
ENSG00000164904	ALDH7A1	5	126531200	126595362
ENSG00000155463	OXA1L	14	22766522	22773042
ENSG00000083720	OXCT1	5	41730065	41870425
ENSG00000110955	ATP5F1B	12	56638175	56645984
ENSG00000135241	PNPLA8	7	108470417	108569666
ENSG00000185345	PRKN	6	161347417	162727775
ENSG00000147853	AK3	9	4709556	4742043
ENSG00000013583	HEBP1	12	12974870	13000265
ENSG00000165629	ATP5F1C	10	7788147	7807815
ENSG00000173599	PC	11	66848417	66958386
ENSG00000175198	PCCA	13	100089015	100530437
ENSG00000114054	PCCB	3	136250340	136337896
ENSG00000156469	MTERF3	8	96239398	96261610
ENSG00000119723	COQ6	14	73949926	73963670
ENSG00000115042	FAHD2A	2	95402708	95416616
ENSG00000101166	PRELID3B	20	59033145	59042809
ENSG00000182180	MRPS16	10	73248843	73252693
ENSG00000023572	GLRX2	1	193090866	193106114
ENSG00000163319	MRPS18C	4	83455932	83469735
ENSG00000214253	FIS1	7	101239458	101252316
ENSG00000282228	PAM16	CHR_HSCHR16_3_CTG1	4331549	4356579
ENSG00000217930	PAM16	16	4331549	4355607
ENSG00000178096	BOLA1	1	149887890	149900798
ENSG00000167699	GLOD4	17	757097	782294
ENSG00000002549	LAP3	4	17577198	17607972
ENSG00000285241	PCK2	CHR_HG1_PATCH	24094052	24110597
ENSG00000100889	PCK2	14	24094053	24110598
ENSG00000139131	YARS2	12	32727490	32755897
ENSG00000112651	MRPL2	6	43054029	43059438
ENSG00000105364	MRPL4	19	10251901	10260055
ENSG00000186010	NDUFA13	19	19515736	19529054
ENSG00000125445	MRPS7	17	75261674	75266376
ENSG00000072756	TRNT1	3	3126933	3153435
ENSG00000116353	MECR	1	29192657	29230942
ENSG00000137806	NDUFAF1	15	41387218	41409403
ENSG00000029639	TFB1M	6	155256134	155314493
ENSG00000147592	LACTB2	8	70635318	70669185
ENSG00000176623	RMDN1	8	86468257	86514357
ENSG00000122140	MRPS2	9	135499984	135504673
ENSG00000167113	COQ4	9	128322544	128334072
ENSG00000106153	CHCHD2	7	56101573	56106476
ENSG00000109576	AADAT	4	170060222	170091699
ENSG00000116882	HAO2	1	119368779	119394130
ENSG00000169738	DCXR	17	82035136	82037709
ENSG00000136463	TACO1	17	63600882	63608365
ENSG00000162836	ACP6	1	147629652	147670524
ENSG00000182512	GLRX5	14	95533503	95544724
ENSG00000133983	COX16	14	70325081	70416984
ENSG00000130349	MTRES1	6	107028199	107051586
ENSG00000116221	MRPL37	1	54184041	54225464
ENSG00000111639	MRPL51	12	6491886	6493841
ENSG00000185414	MRPL30	2	99181152	99199561
ENSG00000108826	MRPL27	17	50367857	50373207
ENSG00000181924	COA4	11	73872667	73876901
ENSG00000130159	ECSIT	19	11505929	11529172
ENSG00000099624	ATP5F1D	19	1241746	1244825
ENSG00000113845	TIMMDC1	3	119498547	119525090
ENSG00000126947	ARMCX1	X	101550547	101554700
ENSG00000147454	SLC25A37	8	23528956	23575463
ENSG00000132313	MRPL35	2	86199355	86213790
ENSG00000182768	NGRN	15	90265659	90275778
ENSG00000239789	MRPS17	7	55951877	55956500
ENSG00000186642	PDE2A	11	72576141	72674591
ENSG00000124172	ATP5F1E	20	59025475	59032345
ENSG00000114735	HEMK1	3	50569152	50596168
ENSG00000170855	TRIAP1	12	120443964	120446384
ENSG00000116459	ATP5PB	1	111448864	111462773
ENSG00000284936	TMEM14C	CHR_HG2057_PATCH	10722915	10731129
ENSG00000111843	TMEM14C	6	10722915	10731129
ENSG00000242114	MTFP1	22	30425623	30429054
ENSG00000111696	NT5DC3	12	103770453	103841234
ENSG00000102401	ARMCX3	X	101622797	101627843
ENSG00000159199	ATP5MC1	17	48892765	48895871
ENSG00000131828	PDHA1	X	19343893	19361718
ENSG00000144182	LIPT1	2	99154955	99163157
ENSG00000163114	PDHA2	4	95840093	95841464
ENSG00000168291	PDHB	3	58427630	58433857
ENSG00000013306	SLC25A39	17	44319625	44324870
ENSG00000152256	PDK1	2	172555373	172608669
ENSG00000005882	PDK2	17	50094737	50112152
ENSG00000175581	MRPL48	11	73787872	73865133
ENSG00000181610	MRPS23	17	57834781	57850056
ENSG00000067992	PDK3	X	24465244	24550466
ENSG00000090263	MRPS33	7	141002610	141015228
ENSG00000141378	PTRH2	17	59674636	59707626
ENSG00000101391	CDK5RAP1	20	33358839	33401561
ENSG00000127952	STYXL1	7	75996338	76048004
ENSG00000004799	PDK4	7	95583499	95596516
ENSG00000060762	MPC1	6	166364919	166383013
ENSG00000135390	ATP5MC2	12	53632726	53677408
ENSG00000154518	ATP5MC3	2	175176258	175181710
ENSG00000132423	COQ3	6	99369401	99394195
ENSG00000059691	GATB	4	151670504	151761007
ENSG00000169020	ATP5ME	4	672436	674330
ENSG00000154723	ATP5PF	21	25716503	25735673
ENSG00000167085	PHB1	17	49404049	49414905
ENSG00000075415	SLC25A3	12	98593591	98606379
ENSG00000107537	PHYH	10	13277796	13302412
ENSG00000170502	NUDT9	4	87422573	87459455
ENSG00000141682	PMAIP1	18	59899996	59904305
ENSG00000241837	ATP5PO	21	33903453	33915814
ENSG00000169228	RAB24	5	177301198	177303744
ENSG00000182362	YBEY	21	46286342	46297751
ENSG00000108387	SEPTIN4	17	58520250	58544368
ENSG00000154719	MRPL39	21	25585656	25607517
ENSG00000172115	CYCS	7	25118656	25125260
ENSG00000070501	POLB	8	42338454	42371808
ENSG00000140521	POLG	15	89305198	89334861
ENSG00000104381	GDAP1	8	74320613	74518007
ENSG00000099821	POLRMT	19	617221	633537
ENSG00000266472	MRPS21	1	150293861	150308979
ENSG00000198960	ARMCX6	X	101615118	101618001
ENSG00000100335	MIEF1	22	39499432	39518132
ENSG00000285025		22	39504231	39504443
ENSG00000112031	MTRF1L	6	152987362	153002709
ENSG00000136897	MRPL50	9	101387633	101398618
ENSG00000147123	NDUFB11	X	47142071	47145466
ENSG00000196683	TOMM7	7	22812628	22822849
ENSG00000088766	CRLS1	20	6006093	6040053
ENSG00000005469	CROT	7	87345664	87399794
ENSG00000164951	PDP1	8	93857807	93926068
ENSG00000198060	MARCHF5	10	92291167	92353964
ENSG00000043514	TRIT1	1	39838110	39883511
ENSG00000237289	CKMT1B	15	43593054	43604901
ENSG00000223572	CKMT1A	15	43692886	43699222
ENSG00000037474	NSUN2	5	6599239	6633291
ENSG00000148090	AUH	9	91213815	91361918
ENSG00000011295	TTC19	17	15999784	16045015
ENSG00000167264	DUS2	16	67987746	68079320
ENSG00000106554	CHCHD3	7	132784870	133082090
ENSG00000174173	TRMT10C	3	101561868	101566446
ENSG00000283104	SARS2	CHR_HG26_PATCH	38915302	38930932
ENSG00000104835	SARS2	19	38915266	38930763
ENSG00000109180	OCIAD1	4	48805212	48861817
ENSG00000262911	DNAJC28	CHR_HSCHR21_4_CTG1_1	33495087	33501278
ENSG00000177692	DNAJC28	21	33485530	33491716
ENSG00000166902	MRPL16	11	59806140	59810778
ENSG00000167985	SDHAF2	11	61430042	61446733
ENSG00000175606	TMEM70	8	73972437	73982783
ENSG00000113272	THG1L	5	157731420	157741449
ENSG00000144659	SLC25A38	3	39383370	39397351
ENSG00000143224	PPOX	1	161166056	161178013
ENSG00000183549	ACSM5	16	20409534	20441336
ENSG00000151093	OXSM	3	25782917	25794534
ENSG00000117791	MTARC2	1	220748225	220784815
ENSG00000175756	AURKAIP1	1	1373730	1375207
ENSG00000155906	RMND1	6	151398898	151452158
ENSG00000171103	TRMT61B	2	28849821	28870309
ENSG00000005059	MCUB	4	109560209	109688719
ENSG00000136874	STX17	9	99906654	99974534
ENSG00000132300	PTCD3	2	86106223	86142157
ENSG00000242485	MRPL20	1	1401909	1407293
ENSG00000090857	PDPR	16	70114332	70162537
ENSG00000164830	OXR1	8	106270144	106752694
ENSG00000105341	DMAC2	19	41431318	41440717
ENSG00000107951	MTPAP	10	30309801	30374448
ENSG00000117593	DARS2	1	173824653	173858808
ENSG00000108439	PNPO	17	47941506	47949308
ENSG00000096080	MRPS18A	6	43671202	43687791
ENSG00000048544	MRPS10	6	42206807	42217861
ENSG00000137824	RMDN3	15	40735884	40755851
ENSG00000171861	MRM3	17	782353	792509
ENSG00000114120	SLC25A36	3	140941830	140980995
ENSG00000048707	VPS13D	1	12230030	12512047
ENSG00000197785	ATAD3A	1	1512162	1534685
ENSG00000185973	TMLHE	X	155489011	155719098
ENSG00000081177	EXD2	14	69191498	69244020
ENSG00000101019	UQCC1	20	35302566	35412031
ENSG00000161558	TMEM143	19	48332356	48364059
ENSG00000121310	ECHDC2	1	52895910	52927212
ENSG00000130348	QRSL1	6	106629578	106668417
ENSG00000126858	RHOT1	17	32142454	32253374
ENSG00000135002	RFK	9	76385526	76394517
ENSG00000136444	RSAD1	17	50478860	50485974
ENSG00000284980	AGPAT5	CHR_HG76_PATCH	6708642	6761503
ENSG00000155189	AGPAT5	8	6708642	6761503
ENSG00000213463	SYNJ2BP	14	70366499	70417090
ENSG00000165028	NIPSNAP3B	9	104764129	104777764
ENSG00000144827	ABHD10	3	111979010	111993368
ENSG00000016391	CHDH	3	53812335	53846419
ENSG00000003509	NDUFAF7	2	37231631	37253403
ENSG00000175193	PARL	3	183829271	183884933
ENSG00000181192	DHTKD1	10	12068954	12123221
ENSG00000110074	FOXRED1	11	126269024	126278131
ENSG00000104907	TRMT1	19	13104902	13117567
ENSG00000288516	PRKACA	CHR_HG109_PATCH	14092006	14118402
ENSG00000072062	PRKACA	19	14091688	14118084
ENSG00000171109	MFN1	3	179347709	179394936
ENSG00000100416	TRMU	22	46330875	46357340
ENSG00000067704	IARS2	1	220094132	220148041
ENSG00000007923	DNAJC11	1	6634168	6701924
ENSG00000213995	NAXD	13	110615545	110639996
ENSG00000106603	COA1	7	43608456	43729717
ENSG00000262327	AGK	CHR_HSCHR7_1_CTG6	141633901	141655244
ENSG00000006530	AGK	7	141551278	141655244
ENSG00000197444	OGDHL	10	49734641	49762379
ENSG00000182810	DDX28	16	68020916	68023232
ENSG00000143199	ADCY10	1	167809386	167914215
ENSG00000122873	CISD1	10	58269162	58289586
ENSG00000107020	PLGRKT	9	5357971	5437925
ENSG00000112304	ACOT13	6	24667035	24705065
ENSG00000093144	ECHDC1	6	127288712	127343609
ENSG00000171204	TMEM126B	11	85628573	85636539
ENSG00000184752	NDUFA12	12	94895297	95003748
ENSG00000101084	RAB5IF	20	36605779	36612557
ENSG00000075303	SLC25A40	7	87833568	87876360
ENSG00000117640	MTFR1L	1	25818640	25832942
ENSG00000277196	PRODH	KI270734.1	138082	161852
ENSG00000100033	PRODH	22	18912777	18936553
ENSG00000137944	KYAT3	1	88935773	88992953
ENSG00000184047	DIABLO	12	122207663	122227456
ENSG00000107815	TWNK	10	100987367	100994403
ENSG00000063176	SPHK2	19	48619291	48630717
ENSG00000026652	AGPAT4	6	161129967	161274061
ENSG00000134278	SPIRE1	18	12446512	12658107
ENSG00000084090	STARD7	2	96184859	96208827
ENSG00000078070	MCCC1	3	183015218	183116075
ENSG00000103121	CMC2	16	80966448	81020270
ENSG00000175110	MRPS22	3	139005806	139360497
ENSG00000168958	MFF	2	227325151	227357833
ENSG00000100445	SDR39U1	14	24439766	24442905
ENSG00000205309	NT5M	17	17303335	17347663
ENSG00000114021	NIT2	3	100334739	100361635
ENSG00000100216	TOMM22	22	38681957	38685421
ENSG00000111666	CHPT1	12	101696947	101744140
ENSG00000163050	COQ8A	1	226940286	226987544
ENSG00000196636	SDHAF3	7	97117698	97181763
ENSG00000198074	AKR1B10	7	134527567	134541412
ENSG00000088682	COQ9	16	57447425	57461270
ENSG00000146282	RARS2	6	87513459	87590028
ENSG00000284009	PLSCR3	CHR_HG2046_PATCH	7389727	7394842
ENSG00000187838	PLSCR3	17	7389727	7394842
ENSG00000164494	PDSS2	6	107152562	107459564
ENSG00000214113	LYRM4	6	5103629	5260950
ENSG00000136522	MRPL47	3	179588285	179604649
ENSG00000063761	ADCK1	14	77800109	77935014
ENSG00000102897	LYRM1	16	20899868	20925006
ENSG00000111850	SMIM8	6	87322583	87399749
ENSG00000236178	VARS2	CHR_HSCHR6_MHC_COX_CTG1	30904070	30916176
ENSG00000206476	VARS2	CHR_HSCHR6_MHC_QBL_CTG1	30903778	30916043
ENSG00000234032	VARS2	CHR_HSCHR6_MHC_MCF_CTG1	30992759	31005022
ENSG00000230985	VARS2	CHR_HSCHR6_MHC_DBB_CTG1	30904916	30917183
ENSG00000223494	VARS2	CHR_HSCHR6_MHC_MANN_CTG1	30958848	30971104
ENSG00000137411	VARS2	6	30914205	30926459
ENSG00000002330	BAD	11	64269830	64284704
ENSG00000083099	LYRM2	6	89568144	89638749
ENSG00000124532	MRS2	6	24402908	24426194
ENSG00000123213	NLN	5	65722205	65871725
ENSG00000124608	AARS2	6	44298731	44313347
ENSG00000088888	MAVS	20	3846799	3876123
ENSG00000172840	PDP2	16	66878589	66895754
ENSG00000126814	TRMT5	14	60971441	60981170
ENSG00000240857	RDH14	2	18554723	18560679
ENSG00000119927	GPAM	10	112149865	112215377
ENSG00000030110	BAK1	6	33572547	33580293
ENSG00000087088	BAX	19	48954815	48961798
ENSG00000117528	ABCD3	1	94418389	94518666
ENSG00000176894	PXMP2	12	132687587	132704985
ENSG00000183010	PYCR1	17	81932384	81942412
ENSG00000059573	ALDH18A1	10	95605941	95656711
ENSG00000137767	SQOR	15	45631148	45691281
ENSG00000250799	PRODH2	19	35799988	35813299
ENSG00000151552	QDPR	4	17460261	17512206
ENSG00000105552	BCAT2	19	48795062	48811029
ENSG00000248098	BCKDHA	19	41397808	41425002
ENSG00000083123	BCKDHB	6	80106647	80346270
ENSG00000171791	BCL2	18	63123346	63320128
ENSG00000140379	BCL2A1	15	79960892	79971196
ENSG00000171552	BCL2L1	20	31664452	31723989
ENSG00000129473	BCL2L2	14	23298790	23311751
ENSG00000139637	MYG1	12	53299695	53307177
ENSG00000125454	SLC25A19	17	75272981	75289510
ENSG00000061794	MRPS35	12	27710822	27756295
ENSG00000196290	NIF3L1	2	200889327	200903938
ENSG00000137500	CCDC90B	11	83259081	83286390
ENSG00000215251	FASTKD5	20	3146519	3159865
ENSG00000006744	ELAC2	17	12991612	13018065
ENSG00000151806	GUF1	4	44678420	44700928
ENSG00000141756	FKBP10	17	41812680	41823213
ENSG00000288141	MRPL23	CHR_HG28_PATCH	1949297	1986541
ENSG00000214026	MRPL23	11	1947278	1984522
ENSG00000074582	BCS1L	2	218658764	218663443
ENSG00000262814	MRPL12	17	81703367	81707517
ENSG00000283018	MRPS12	CHR_HG26_PATCH	38930584	38933198
ENSG00000128626	MRPS12	19	38930944	38933168
ENSG00000275544	BDH1	CHR_HSCHR3_2_CTG3	197506664	197557450
ENSG00000161267	BDH1	3	197509783	197573323
ENSG00000005187	ACSM3	16	20610243	20797581
ENSG00000133028	SCO1	17	10672474	10698375
ENSG00000116171	SCP2	1	52927276	53051698
ENSG00000015475	BID	22	17734138	17774770
ENSG00000100290	BIK	22	43110750	43129712
ENSG00000158042	MRPL17	11	6680385	6683340
ENSG00000073578	SDHA	5	218303	257082
ENSG00000178694	NSUN3	3	94062980	94131832
ENSG00000117118	SDHB	1	17018722	17054032
ENSG00000143252	SDHC	1	161314381	161363206
ENSG00000204370	SDHD	11	112086824	112120016
ENSG00000196236	XPNPEP3	22	40857077	40932815
ENSG00000120333	MRPS14	1	175010789	175023425
ENSG00000050393	MCUR1	6	13786557	13814568
ENSG00000198754	OXCT2	1	39769523	39771348
ENSG00000113384	GOLPH3	5	32124716	32174319
ENSG00000281742	MCCC2	CHR_HSCHR5_1_CTG1_1	70912599	70929779
ENSG00000275300	MCCC2	CHR_HSCHR5_2_CTG1_1	70802600	70819771
ENSG00000131844	MCCC2	5	71579531	71658706
ENSG00000258429	PDF	16	69326913	69330588
ENSG00000128694	OSGEPL1	2	189746660	189763227
ENSG00000162851	TFB2M	1	246540561	246566261
ENSG00000205138	SDHAF1	19	35995188	35996312
ENSG00000131368	MRPS25	3	15009611	15065339
ENSG00000182199	SHMT2	12	57229573	57234935
ENSG00000165792	METTL17	14	20989973	20997035
ENSG00000123472	ATPAF1	1	46632737	46673867
ENSG00000186205	MTARC1	1	220786352	220819659
ENSG00000006282	SPATA20	17	50543058	50555852
ENSG00000101574	METTL4	18	2537525	2571509
ENSG00000113492	AGXT2	5	34998101	35048135
ENSG00000180992	MRPL14	6	44113451	44127452
ENSG00000168268	NT5DC2	3	52524385	52535054
ENSG00000125901	MRPS26	20	3046052	3048250
ENSG00000062582	MRPS24	7	43866558	43869893
ENSG00000116898	MRPS15	1	36455718	36464384
ENSG00000181991	MRPS11	15	88467453	88480776
ENSG00000135972	MRPS9	2	105038069	105099960
ENSG00000243927	MRPS6	21	34073224	34143034
ENSG00000144029	MRPS5	2	95085369	95122006
ENSG00000182154	MRPL41	9	137551879	137552555
ENSG00000185608	MRPL40	22	19432545	19436075
ENSG00000204316	MRPL38	17	75898644	75905093
ENSG00000171421	MRPL36	5	1798385	1801366
ENSG00000130312	MRPL34	19	17292609	17306843
ENSG00000106591	MRPL32	7	42932376	42948958
ENSG00000174547	MRPL11	11	66435075	66466738
ENSG00000143436	MRPL9	1	151759647	151763496
ENSG00000169288	MRPL1	4	77862830	77952785
ENSG00000158828	PINK1	1	20633458	20651511
ENSG00000135900	MRPL44	2	223957463	223967714
ENSG00000162377	COA7	1	52684449	52698347
ENSG00000100075	SLC25A1	22	19175581	19178739
ENSG00000103254	ANTKMT	16	720581	722590
ENSG00000165775	FUNDC2	X	155025980	155060304
ENSG00000074071	MRPS34	16	1771890	1773150
ENSG00000176171	BNIP3	10	131967684	131981967
ENSG00000142168	SOD1	21	31659666	31668931
ENSG00000291237	SOD2	6	159669069	159762529
ENSG00000104765	BNIP3L	8	26383054	26505636
ENSG00000176720	BOK	2	241551424	241574131
ENSG00000197912	SPG7	16	89490719	89557766
ENSG00000116096	SPR	2	72887382	72892158
ENSG00000137274	BPHL	6	3118374	3153578
ENSG00000262771	SSBP1	CHR_HSCHR7_1_CTG6	141744329	141752534
ENSG00000106028	SSBP1	7	141738334	141787922
ENSG00000147465	STAR	8	38142700	38150992
ENSG00000139531	SUOX	12	55997180	56006641
ENSG00000156502	SUPV3L1	10	69180234	69209099
ENSG00000280627	SURF1	CHR_HG2030_PATCH	133351906	133356824
ENSG00000148290	SURF1	9	133351758	133356676
ENSG00000102125	TAFAZZIN	X	154411524	154421726
ENSG00000167815	PRDX2	19	12796820	12801800
ENSG00000108064	TFAM	10	58385345	58399220
ENSG00000100300	TSPO	22	43151547	43163242
ENSG00000108561	C1QBP	17	5432777	5448830
ENSG00000166548	TK2	16	66508003	66552544
ENSG00000284238	TOP3A	CHR_HSCHR17_3_CTG1	18271428	18315007
ENSG00000177302	TOP3A	17	18271428	18315007
ENSG00000128311	TST	22	37010859	37020183
ENSG00000180902	D2HGDH	2	241734602	241768816
ENSG00000178952	TUFM	16	28842411	28846348
ENSG00000213221	DNLZ	9	136359480	136363744
ENSG00000198431	TXNRD1	12	104215779	104350307
ENSG00000102794	ACOD1	13	76948511	76958638
ENSG00000109424	UCP1	4	140559431	140568961
ENSG00000175567	UCP2	11	73974672	73982843
ENSG00000175564	UCP3	11	74000277	74009085
ENSG00000076248	UNG	12	109097597	109126725
ENSG00000156467	UQCRB	8	96222947	96235546
ENSG00000010256	UQCRC1	3	48599002	48610976
ENSG00000140740	UQCRC2	16	21953288	21983660
ENSG00000169021	UQCRFS1	19	29205320	29213151
ENSG00000173660	UQCRH	1	46303698	46316776
ENSG00000149792	MRPL49	11	65122183	65127371
ENSG00000213585	VDAC1	5	133971871	134004975
ENSG00000165637	VDAC2	10	75210154	75231448
ENSG00000078668	VDAC3	8	42391624	42405937
ENSG00000214756	CSKMT	11	62665309	62668496
ENSG00000174990	CA5A	16	87881546	87936580
ENSG00000132676	DAP3	1	155687960	155739010
ENSG00000178537	SLC25A20	3	48856926	48898904
ENSG00000173141	MRPL57	13	21176658	21179084
ENSG00000124279	FASTKD3	5	7859159	7869037
ENSG00000125648	SLC25A23	19	6436079	6465203
ENSG00000204922	UQCC3	11	62670273	62673686
ENSG00000101247	NDUFAF5	20	13785007	13821580
ENSG00000184831	APOO	X	23833353	23907938
ENSG00000170791	CHCHD7	8	56211686	56218809
ENSG00000112294	ALDH5A1	6	24494867	24537207
ENSG00000228357	HSD17B8	CHR_HSCHR6_MHC_MANN_CTG1	33358522	33360715
ENSG00000232357	HSD17B8	CHR_HSCHR6_MHC_MCF_CTG1	33375002	33377191
ENSG00000225312	HSD17B8	CHR_HSCHR6_MHC_DBB_CTG1	33182548	33184737
ENSG00000112474	HSD17B8	CHR_HSCHR6_MHC_QBL_CTG1	33133453	33135646
ENSG00000228712	HSD17B8	CHR_HSCHR6_MHC_COX_CTG1	33126266	33128451
ENSG00000204228	HSD17B8	6	33204655	33206831
ENSG00000162972	MAIP1	2	199955317	200008540
ENSG00000134905	CARS2	13	110641412	110713603
ENSG00000143314	MRPL24	1	156737303	156741590
ENSG00000090432	MUL1	1	20499448	20508151
ENSG00000111058	ACSS3	12	80936414	81261210
ENSG00000160703	NLRX1	11	119166568	119184016
ENSG00000138399	FASTKD1	2	169528508	169573875
ENSG00000215012	RTL10	22	19846138	19854896
ENSG00000196449	YRDC	1	37802945	37808208
ENSG00000164051	CCDC51	3	48432164	48440456
ENSG00000137513	NARS2	11	78435620	78575194
ENSG00000172171	TEFM	17	30897336	30906238
ENSG00000134463	ECHDC3	10	11742366	11764070
ENSG00000177542	SLC25A22	11	790475	798281
ENSG00000063241	ISOC2	19	55452985	55462343
